# How well each table's digits are known.
#
# One line per table: tid, level, and the evidence for it. Read by
# `manage.py set_rigour`, which writes the level into the table's Data
# properties. Kept as a file rather than done in a script so that the
# judgement can be read, argued with and corrected -- it is a claim about
# 88 tables and most of it was made by reading one line of each generator.
#
# The evidence is the generate.sage that produced the table, in the
# numberdb-data repository, or -- for the fifteen tables that have no script --
# what was done to establish the digits here, recorded in the fourth column.
#
# An optional fourth column gives a table its own `rigour details` sentence,
# replacing the generic one for its level. It is there because `proven` covers
# more than one kind of thing: usually ball arithmetic, but T5's interval is a
# pair of theorems about matrix multiplication and T3's zeros were checked
# against arb's certified enclosures. A sentence that is nearly right is worse
# than none, since it is the sentence a reader will believe.
#
# The four physical constants are `measured`, which is not on the scale the
# other levels sit on. It says the number was not computed at all, so asking
# whether measurement beats agreement-checking has no answer -- they are not
# the same kind of claim.
#
# A first pass classified these by pattern-matching the scripts and got
# thirteen wrong, in three separate ways: `mpmath.mp.airyaizero(` does not
# match `mpmath\.\w+\(`; `from mpmath import mp` hides mpmath behind `mp`;
# and six p-adic scripts import mpmath, never call it, and compute in Qp,
# which tracks precision exactly as an interval field does. Every line that
# is not `exact` by the table's declared type has since been read.
#
# The direction that matters was checked separately: a wrong `heuristic` is
# conservative, a wrong `proven` is a false claim of rigour. Every `proven`
# was re-checked against a deliberately wide net for inexact arithmetic, and
# the one hit turned out to be a `.n()` inside a debugging print.
#
# That check was not enough. Reading a script cannot tell you whether
# `RIF(f(x))` is an enclosure: it depends on whether f has an interval
# implementation, and when it does not, Sage evaluates numerically and hands
# back an interval of width zero -- which looks exactly like an exact value.
# Running each function settled it. gamma, psi, zeta and log return genuine
# enclosures; elliptic_kc, elliptic_ec, elliptic_pi and sin_integral return
# points that do not contain a 4000-bit value. Four tables were labelled
# `proven` on that basis and are now `heuristic`. Their stored digits are
# right -- they agree with a 4000-bit computation past 200 characters -- but
# nothing proves them, which is the distinction this file exists to draw.
#
# A table with a generator in `generators/` is described by that generator,
# not by this file: the generator is what runs, and it may do better than the
# script it replaced. Nine lines below say `converted:` for that reason, and
# running this file with --overwrite before they did cost those nine tables
# their levels for about a minute.
#
# tid	level	evidence
T93	proven	converted: generators/T93-barnes-g recomputes it with arb (acb_barnes_g); the stored tails were wrong and were corrected	Recomputed in ball arithmetic (arb, acb_barnes_g), which carries its error bound through the computation. This table holds 200 significant digits and about 197 of them had been right: mpmath was asked for 200 digits of working precision, its barnesg returned fewer correct ones, and nothing checked. Of the 1050 inexact entries, 995 were outside the one unit in the last place that a written value promises -- typically by 10 to 100 units, worst 386. The tails were replaced on 2026-08-16; the earlier values are in the table history.
T94	proven	interval or ball arithmetic only
T95	exact	type Z[]
T96	exact	type Z[]
T97	exact	type Z[]
T98	exact	type Z[]
T99	exact	type Z[]
T101	exact	type Q[]
T102	exact	type Q[]
T103	exact	type Z[]
T104	exact	type Z[]
T105	exact	type Q[]
T106	exact	type Q[]
T107	exact	type Z[]
T10	measured	experimental values; the stored interval spans the measurements
T12	measured	experimental values; the stored interval spans the measurements
T76	measured	experimental values, per NIST's stated uncertainties
T78	measured	experimental values, per NIST's stated uncertainties

# The fifteen tables that had no level, audited 2026-08-15. None has a
# generating script; the evidence is what was done to check them here.
T3	proven	verified here: every one of the 1000 entries encloses arb's certified zero	The stored intervals were checked against certified enclosures of the zeta zeros (arb's acb_dirichlet_zeta_zeros), which are proven to contain the true zeros. All 1000 agreed. Note that these entries carry about 31 digits and their own error bars, not the hundred digits usual elsewhere in the database.
T4	heuristic	transcribed from the LMFDB; each entry carries the LMFDB URL it came from	Transcribed from the LMFDB rather than computed here, and this database records nothing about how the original computation bounded its error. The digits are very likely right; nothing in this table establishes it.
T5	proven	the entry is a pair of theorems, not a computation	Not a computed value: the entry is an interval between two theorems, the trivial lower bound of 2 and the best upper bound published when the entry was written. The true exponent is not known, and the width of the interval is ignorance about mathematics rather than error in a computation. Sharper upper bounds have been published since.
T7	proven	verified here against pi in ball arithmetic; agrees to 120 characters	Checked here against pi computed in ball arithmetic at 400 bits, which agreed to past the hundredth digit.
T8	proven	verified here against exp(1) in ball arithmetic	Checked here against exp(1) computed in ball arithmetic at 400 bits, which agreed to past the hundredth digit.
T18	heuristic	transcribed from the literature; no script, and not verified here	Transcribed from the literature rather than computed here. The Feigenbaum constants have been established rigorously in the literature by computer-assisted proof, but nothing in this table connects these digits to that work.
T19	heuristic	d<=3 have closed forms; d>=4 were transcribed, and the script's own integral is marked as not working	Mixed, and labelled by its weakest entries. The first three are exact or have a closed form -- the third is Watson's integral, which ball arithmetic confirms. The rest were transcribed: the script's own attempt to compute them carries the comment that it does not work.
T32	proven	verified here against (1+sqrt(5))/2 in ball arithmetic	Checked here against (1 + sqrt(5))/2 computed in ball arithmetic at 400 bits, which agreed to past the hundredth digit. The value is also an algebraic number, so any number of further digits can be had on demand.
T37	proven	verified here: the stored value lies inside exp(pi*sqrt(163)) as a ball	Checked here against exp(pi*sqrt(163)) computed in ball arithmetic at 400 bits; the stored value lies inside the resulting enclosure.
T38	heuristic	an Euler product taken from the literature; not verified here	Transcribed from the literature rather than computed here, and not checked against an independent computation, which is the difference between this table and the twin prime constant beside it.
T39	heuristic (agreement-checked)	agrees with mpmath.twinprime to 107 characters	Checked here against mpmath's independent computation of the same constant, which agreed to past the hundredth digit. That is a stronger check than recomputing at two precisions, since the two computations share no code, but neither one bounds its own error.
T41	exact	symbolic sequences; there is no precision to choose
T43	heuristic (agreement-checked)	agrees with mpmath.mertens to 107 characters	Checked here against mpmath's independent computation of the same constant, which agreed to past the hundredth digit. That is a stronger check than recomputing at two precisions, since the two computations share no code, but neither one bounds its own error.
T89	exact	counts of triples; integers
T100	heuristic	the table says so itself: 'Value is only a heuristic estimate'	The table said so before this label existed: its own comment calls the first value a heuristic estimate. These are dimensions of fractals obtained numerically, and no error bound is claimed for them.
